Asset             Connection    IPv4          MAC              Role						                                Status:
Spectrum          ISP          142.105.x.x   Unknown           ISP						                                Operational
TP-Link Router    Gateway      192.168.x.x   XX:XX:XX:XX:*     Router/AP					                            Operational
Workstation       Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     Host Server					                            Operational
Laptop 1          Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     "Jennifer" Wifi Connection			                    Operational
Laptop 2          Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     "Miles" WiFi Connection				                    Operational
Phone             Phone Wi-Fi  192.168.x.x   randomized        "Jennifer's" Work Phone on Staff Campus WiFi	            Operational
Phone             Phone Wi-Fi  192.168.x.x   randomized        "Miles" Work Phone on Staff Campus WiFi		            Needs Verification
Phone             Phone Wi-Fi  192.168.x.x   randomized        "Miles" Personal Phone on Staff Campus WiFi	  Operational
TV                Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     Break Room TV					                        Operational
Firestick         Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     Break Room Device for Bulletin Updates		      Operational
IoT Display       Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     Google Home Speaker				                    Operational
Printer           Wi-Fi        192.168.x.x   XX:XX:XX:XX:*     Break Room Printer				                      Identified through traffic analysis
